crop,season,district,year,selling_price_range,selling_location,industry_name
ragi,kharif,warangal rural,2020,2816–3981 ₹/quintal,local market,mandi connect ltd
ginger,kharif,medchal–malkajgiri,2024,4549–4777 ₹/quintal,nearest mandi,telangana agri exports
carrot,rabi,warangal rural,2023,3371–3632 ₹/quintal,industry buyer,agro industries ltd
groundnut,kharif,vikarabad,2024,4135–5216 ₹/quintal,local market,mandi connect ltd
grapes,rabi,mancherial,2024,3598–4054 ₹/quintal,local market,agro industries ltd
grapes,rabi,hyderabad,2021,3123–4145 ₹/quintal,local market,deccan agri trading
peach,rabi,khammam,2021,3581–5061 ₹/quintal,local market,bharat agro mills
banana,rabi,kumuram bheem asifabad,2022,3557–4413 ₹/quintal,industry buyer,green harvest corp
potato,rabi,adilabad,2020,1387–2097 ₹/quintal,industry buyer,rural farmers hub
carrot,rabi,kamareddy,2020,3008–4085 ₹/quintal,local market,bharat agro mills
cardamom,kharif,jogulamba gadwal,2022,3703–4501 ₹/quintal,industry buyer,mandi connect ltd
coffee,kharif,mahabubnagar,2023,2616–3046 ₹/quintal,local market,green harvest corp
urad,kharif,vikarabad,2020,4164–5648 ₹/quintal,local market,telangana agri exports
cumin,rabi,warangal urban,2021,2904–4045 ₹/quintal,local market,deccan agri trading
rubber,kharif,jagtial,2022,2901–3633 ₹/quintal,local market,green harvest corp
cardamom,kharif,nirmal,2023,2277–3332 ₹/quintal,local market,green harvest corp
pumpkin,zaid,peddapalli,2021,4057–4942 ₹/quintal,local market,deccan agri trading
tea,kharif,yadadri bhuvanagiri,2022,2609–2950 ₹/quintal,nearest mandi,agro industries ltd
urad,kharif,bhadradri kothagudem,2022,4430–5147 ₹/quintal,industry buyer,rural farmers hub
garlic,rabi,khammam,2021,3607–4172 ₹/quintal,nearest mandi,mandi connect ltd
cinnamon,kharif,medak,2022,3297–3951 ₹/quintal,industry buyer,agro industries ltd
pumpkin,zaid,sangareddy,2022,4676–5468 ₹/quintal,industry buyer,green harvest corp
watermelon,zaid,mancherial,2024,3339–3737 ₹/quintal,nearest mandi,rural farmers hub
turmeric,kharif,jagtial,2021,7082–7354 ₹/quintal,nearest mandi,deccan agri trading
sugarcane,kharif,khammam,2021,2891–3189 ₹/quintal,nearest mandi,agro industries ltd
saffron,rabi,wanaparthy,2022,3029–4475 ₹/quintal,nearest mandi,agro industries ltd
bitter gourd,kharif,mahabubnagar,2024,3003–4419 ₹/quintal,industry buyer,telangana agri exports
bitter gourd,kharif,siddipet,2023,3451–4382 ₹/quintal,industry buyer,telangana agri exports
lemon,kharif,nagarkurnool,2020,2779–3829 ₹/quintal,local market,krishi produce ltd
sapota,rabi,mahabubnagar,2023,3601–4532 ₹/quintal,local market,deccan agri trading
pomegranate,kharif,mancherial,2024,3837–4894 ₹/quintal,industry buyer,bharat agro mills
barley,rabi,khammam,2024,3741–4110 ₹/quintal,nearest mandi,telangana agri exports
muskmelon,zaid,kumuram bheem asifabad,2021,2888–3187 ₹/quintal,industry buyer,telangana agri exports
hemp,kharif,nagarkurnool,2022,3187–4473 ₹/quintal,nearest mandi,mandi connect ltd
gram,rabi,suryapet,2024,4131–5107 ₹/quintal,local market,agro industries ltd
grapes,rabi,rangareddy,2022,2751–3311 ₹/quintal,industry buyer,rural farmers hub
jowar,rabi,rangareddy,2024,3725–5120 ₹/quintal,local market,rural farmers hub
bottle gourd,kharif,adilabad,2020,3351–3608 ₹/quintal,nearest mandi,bharat agro mills
okra,kharif,sangareddy,2022,3477–4153 ₹/quintal,local market,green harvest corp
sunflower,zaid,suryapet,2022,3285–4044 ₹/quintal,local market,green harvest corp
jowar,rabi,wanaparthy,2021,4083–5295 ₹/quintal,nearest mandi,mandi connect ltd
clove,kharif,suryapet,2020,3991–4778 ₹/quintal,local market,mandi connect ltd
cotton,kharif,jagtial,2021,5227–6455 ₹/quintal,industry buyer,green harvest corp
sapota,kharif,suryapet,2024,3210–4115 ₹/quintal,industry buyer,green harvest corp
coffee,kharif,nirmal,2023,2423–2771 ₹/quintal,local market,mandi connect ltd
potato,rabi,sangareddy,2020,977–2272 ₹/quintal,industry buyer,mandi connect ltd
wheat,rabi,jagtial,2024,1917–2426 ₹/quintal,local market,telangana agri exports
okra,kharif,rajanna sircilla,2024,2466–3532 ₹/quintal,industry buyer,green harvest corp
grapes,rabi,jangaon,2020,4164–4723 ₹/quintal,local market,mandi connect ltd
mango,kharif,hyderabad,2023,2244–3066 ₹/quintal,local market,agro industries ltd
maize,kharif,mahabubabad,2021,2184–2401 ₹/quintal,local market,telangana agri exports
banana,kharif,bhadradri kothagudem,2023,4180–5008 ₹/quintal,local market,agro industries ltd
papaya,rabi,nagarkurnool,2021,3379–4445 ₹/quintal,industry buyer,mandi connect ltd
apple,rabi,nirmal,2020,4326–5788 ₹/quintal,industry buyer,telangana agri exports
mustard,rabi,kumuram bheem asifabad,2023,3119–3924 ₹/quintal,industry buyer,agro industries ltd
wheat,rabi,bhadradri kothagudem,2020,1941–3341 ₹/quintal,industry buyer,green harvest corp
rubber,kharif,rangareddy,2023,3341–4127 ₹/quintal,industry buyer,bharat agro mills
tea,kharif,peddapalli,2021,4474–5888 ₹/quintal,industry buyer,green harvest corp
urad,kharif,wanaparthy,2020,2683–3473 ₹/quintal,nearest mandi,rural farmers hub
orange,kharif,sangareddy,2020,2942–3587 ₹/quintal,nearest mandi,krishi produce ltd
guava,kharif,peddapalli,2020,3628–4940 ₹/quintal,industry buyer,deccan agri trading
pulses,kharif,nirmal,2021,3375–3714 ₹/quintal,industry buyer,green harvest corp
saffron,rabi,adilabad,2023,2790–3387 ₹/quintal,nearest mandi,agro industries ltd
rice,rabi,sangareddy,2021,2386–3245 ₹/quintal,industry buyer,green harvest corp
clove,kharif,hyderabad,2022,3595–4061 ₹/quintal,nearest mandi,mandi connect ltd
ginger,kharif,nizamabad,2020,3483–4165 ₹/quintal,industry buyer,deccan agri trading
peach,rabi,siddipet,2022,3745–5128 ₹/quintal,industry buyer,telangana agri exports
millets,kharif,rangareddy,2023,2736–3311 ₹/quintal,industry buyer,mandi connect ltd
ragi,kharif,rajanna sircilla,2024,3455–3890 ₹/quintal,industry buyer,deccan agri trading
cauliflower,rabi,karimnagar,2021,4670–5414 ₹/quintal,industry buyer,mandi connect ltd
cardamom,kharif,jagtial,2020,3190–4016 ₹/quintal,local market,green harvest corp
jute,kharif,jangaon,2023,3734–4700 ₹/quintal,local market,deccan agri trading
grapes,rabi,mancherial,2023,4361–4709 ₹/quintal,industry buyer,bharat agro mills
tea,kharif,medak,2020,3652–4311 ₹/quintal,industry buyer,telangana agri exports
lychee,kharif,peddapalli,2023,4243–4555 ₹/quintal,nearest mandi,mandi connect ltd
clove,kharif,mulugu,2021,3182–3680 ₹/quintal,local market,green harvest corp
beetroot,rabi,peddapalli,2023,3847–4893 ₹/quintal,local market,agro industries ltd
soybean,kharif,mancherial,2021,3928–4193 ₹/quintal,nearest mandi,krishi produce ltd
sesame,kharif,khammam,2020,3942–5187 ₹/quintal,nearest mandi,green harvest corp
cinnamon,kharif,sangareddy,2020,2226–2757 ₹/quintal,local market,telangana agri exports
spices,rabi,hyderabad,2021,3516–4963 ₹/quintal,nearest mandi,telangana agri exports
clove,kharif,mahabubabad,2022,3931–4574 ₹/quintal,industry buyer,deccan agri trading
ridge gourd,kharif,rangareddy,2020,3260–3465 ₹/quintal,nearest mandi,bharat agro mills
pulses,kharif,jayashankar bhupalpally,2021,3722–5044 ₹/quintal,industry buyer,bharat agro mills
cinnamon,kharif,kamareddy,2020,2962–3516 ₹/quintal,local market,bharat agro mills
coffee,kharif,mahabubabad,2021,4587–5584 ₹/quintal,industry buyer,agro industries ltd
lemon,kharif,warangal rural,2024,2603–3938 ₹/quintal,local market,agro industries ltd
sesame,kharif,vikarabad,2022,2853–3165 ₹/quintal,industry buyer,bharat agro mills
brinjal,rabi,medak,2021,2610–4031 ₹/quintal,local market,mandi connect ltd
wheat,rabi,mahabubabad,2020,2089–2666 ₹/quintal,nearest mandi,mandi connect ltd
rubber,kharif,mahabubnagar,2020,3126–3888 ₹/quintal,local market,deccan agri trading
brinjal,rabi,jogulamba gadwal,2020,3336–4495 ₹/quintal,industry buyer,deccan agri trading
rice,kharif,mulugu,2021,1981–2293 ₹/quintal,industry buyer,green harvest corp
soybean,kharif,medak,2023,3419–4818 ₹/quintal,industry buyer,deccan agri trading
bottle gourd,kharif,karimnagar,2023,3961–5318 ₹/quintal,nearest mandi,green harvest corp
potato,rabi,sangareddy,2023,1223–2555 ₹/quintal,nearest mandi,green harvest corp
lemon,kharif,jagtial,2024,2822–3110 ₹/quintal,industry buyer,mandi connect ltd
apple,rabi,medchal–malkajgiri,2024,3349–3855 ₹/quintal,local market,bharat agro mills
pumpkin,zaid,jayashankar bhupalpally,2022,3663–4329 ₹/quintal,local market,bharat agro mills
mustard,rabi,medak,2022,4271–5598 ₹/quintal,nearest mandi,green harvest corp
guava,rabi,mahabubnagar,2020,3163–4429 ₹/quintal,local market,deccan agri trading
pomegranate,kharif,bhadradri kothagudem,2022,2832–3876 ₹/quintal,industry buyer,green harvest corp
peach,rabi,warangal rural,2023,2337–3147 ₹/quintal,nearest mandi,bharat agro mills
sunflower,rabi,yadadri bhuvanagiri,2024,2433–3212 ₹/quintal,industry buyer,krishi produce ltd
turmeric,kharif,jogulamba gadwal,2023,7330–8408 ₹/quintal,local market,telangana agri exports
watermelon,zaid,yadadri bhuvanagiri,2020,3993–4432 ₹/quintal,local market,agro industries ltd
sesame,kharif,mulugu,2023,2793–4247 ₹/quintal,nearest mandi,rural farmers hub
brinjal,kharif,siddipet,2022,2392–2695 ₹/quintal,nearest mandi,rural farmers hub
barley,rabi,khammam,2024,2567–3979 ₹/quintal,nearest mandi,krishi produce ltd
turmeric,kharif,medak,2024,8243–8881 ₹/quintal,nearest mandi,rural farmers hub
sesame,kharif,jangaon,2020,2787–3292 ₹/quintal,local market,deccan agri trading
saffron,rabi,nizamabad,2021,3346–3929 ₹/quintal,local market,green harvest corp
mango,kharif,nirmal,2022,2237–2794 ₹/quintal,nearest mandi,deccan agri trading
chilli,rabi,jagtial,2023,6871–7872 ₹/quintal,local market,rural farmers hub
bajra,kharif,karimnagar,2022,4291–4612 ₹/quintal,local market,bharat agro mills
bitter gourd,kharif,medak,2021,3625–3933 ₹/quintal,local market,bharat agro mills
cotton,kharif,rajanna sircilla,2024,6901–7374 ₹/quintal,nearest mandi,bharat agro mills
lemon,kharif,mulugu,2024,2754–3895 ₹/quintal,nearest mandi,agro industries ltd
carrot,rabi,nagarkurnool,2021,3109–3911 ₹/quintal,industry buyer,green harvest corp
carrot,rabi,mahabubnagar,2024,3383–4588 ₹/quintal,local market,mandi connect ltd
mango,kharif,mahabubabad,2024,2723–4063 ₹/quintal,local market,mandi connect ltd
sesame,kharif,nagarkurnool,2023,3990–4419 ₹/quintal,industry buyer,deccan agri trading
cotton,kharif,warangal rural,2024,5914–7357 ₹/quintal,nearest mandi,krishi produce ltd
moong,kharif,nirmal,2022,2200–2413 ₹/quintal,nearest mandi,green harvest corp
bottle gourd,kharif,mahabubabad,2023,3256–3779 ₹/quintal,nearest mandi,rural farmers hub
plum,rabi,nirmal,2022,4937–5485 ₹/quintal,industry buyer,deccan agri trading
orange,kharif,rajanna sircilla,2020,4185–4896 ₹/quintal,local market,green harvest corp
pomegranate,kharif,nagarkurnool,2021,3336–4079 ₹/quintal,local market,deccan agri trading
peach,rabi,mahabubnagar,2024,3901–4914 ₹/quintal,industry buyer,bharat agro mills
ridge gourd,kharif,jogulamba gadwal,2022,2997–4487 ₹/quintal,local market,krishi produce ltd
tomato,kharif,nirmal,2024,1214–1903 ₹/quintal,industry buyer,green harvest corp
orange,kharif,jagtial,2021,2724–4000 ₹/quintal,nearest mandi,krishi produce ltd
coffee,kharif,medchal–malkajgiri,2024,2518–3886 ₹/quintal,nearest mandi,green harvest corp
garlic,rabi,mulugu,2022,2444–2793 ₹/quintal,local market,agro industries ltd
peach,rabi,suryapet,2024,4027–4820 ₹/quintal,nearest mandi,agro industries ltd
garlic,rabi,medak,2022,2883–3214 ₹/quintal,nearest mandi,agro industries ltd
urad,kharif,rajanna sircilla,2020,3440–4430 ₹/quintal,nearest mandi,telangana agri exports
cabbage,rabi,jangaon,2020,3046–4003 ₹/quintal,industry buyer,telangana agri exports
mustard,rabi,rangareddy,2023,3115–3874 ₹/quintal,industry buyer,green harvest corp
lemon,kharif,medchal–malkajgiri,2024,4421–5420 ₹/quintal,nearest mandi,rural farmers hub
beetroot,rabi,mulugu,2020,3018–3801 ₹/quintal,industry buyer,krishi produce ltd
wheat,rabi,kamareddy,2022,2058–2272 ₹/quintal,nearest mandi,mandi connect ltd
bajra,kharif,rajanna sircilla,2024,2647–3917 ₹/quintal,local market,telangana agri exports
plum,rabi,nalgonda,2024,4632–5086 ₹/quintal,local market,krishi produce ltd
potato,rabi,mahabubabad,2020,1060–1299 ₹/quintal,local market,krishi produce ltd
beetroot,rabi,rajanna sircilla,2021,4252–5556 ₹/quintal,industry buyer,deccan agri trading
groundnut,kharif,wanaparthy,2024,3706–5066 ₹/quintal,local market,green harvest corp
sesame,kharif,mulugu,2023,3638–4863 ₹/quintal,local market,bharat agro mills
saffron,rabi,nizamabad,2022,2445–2743 ₹/quintal,local market,deccan agri trading
tomato,rabi,medak,2020,1553–1840 ₹/quintal,local market,telangana agri exports
cinnamon,kharif,mahabubnagar,2024,3717–4506 ₹/quintal,nearest mandi,krishi produce ltd
coffee,kharif,mahabubabad,2024,4595–5548 ₹/quintal,local market,bharat agro mills
carrot,rabi,warangal rural,2023,3730–4154 ₹/quintal,industry buyer,telangana agri exports
coffee,kharif,mahabubabad,2021,3827–5270 ₹/quintal,industry buyer,deccan agri trading
pomegranate,kharif,warangal rural,2021,4507–5759 ₹/quintal,local market,deccan agri trading
jowar,kharif,mahabubabad,2021,4280–4795 ₹/quintal,local market,green harvest corp
onion,kharif,nagarkurnool,2021,2396–3210 ₹/quintal,nearest mandi,deccan agri trading
sugarcane,kharif,wanaparthy,2020,2811–3367 ₹/quintal,nearest mandi,green harvest corp
pumpkin,kharif,sangareddy,2023,2845–3195 ₹/quintal,local market,rural farmers hub
soybean,kharif,nagarkurnool,2020,3158–3572 ₹/quintal,industry buyer,agro industries ltd
cumin,rabi,nirmal,2024,3507–4117 ₹/quintal,nearest mandi,green harvest corp
barley,rabi,mulugu,2020,3696–4082 ₹/quintal,industry buyer,agro industries ltd
turmeric,kharif,mulugu,2024,7870–8296 ₹/quintal,local market,agro industries ltd
carrot,rabi,rangareddy,2024,3484–4475 ₹/quintal,nearest mandi,bharat agro mills
sapota,kharif,vikarabad,2020,3095–4045 ₹/quintal,nearest mandi,rural farmers hub
cotton,kharif,mahabubnagar,2024,5086–5555 ₹/quintal,nearest mandi,telangana agri exports
bajra,kharif,khammam,2024,3633–3932 ₹/quintal,local market,agro industries ltd
ginger,kharif,jagtial,2020,4940–6397 ₹/quintal,nearest mandi,mandi connect ltd
urad,kharif,peddapalli,2021,3188–4073 ₹/quintal,nearest mandi,telangana agri exports
moong,kharif,nirmal,2022,3054–4278 ₹/quintal,local market,deccan agri trading
spices,zaid,adilabad,2023,3538–3951 ₹/quintal,nearest mandi,bharat agro mills
lychee,kharif,yadadri bhuvanagiri,2020,3573–3834 ₹/quintal,local market,agro industries ltd
wheat,rabi,mahabubabad,2022,2372–3844 ₹/quintal,local market,krishi produce ltd
onion,kharif,jangaon,2023,1136–2599 ₹/quintal,industry buyer,mandi connect ltd
pulses,kharif,peddapalli,2023,3462–3813 ₹/quintal,industry buyer,telangana agri exports
jute,kharif,siddipet,2023,3777–4909 ₹/quintal,local market,deccan agri trading
papaya,rabi,bhadradri kothagudem,2023,2622–2897 ₹/quintal,local market,telangana agri exports
clove,kharif,medchal–malkajgiri,2021,3019–4443 ₹/quintal,industry buyer,rural farmers hub
grapes,rabi,wanaparthy,2020,2676–3465 ₹/quintal,industry buyer,agro industries ltd
barley,rabi,jayashankar bhupalpally,2022,2439–2659 ₹/quintal,nearest mandi,green harvest corp
spices,zaid,warangal urban,2022,2390–2682 ₹/quintal,industry buyer,telangana agri exports
brinjal,kharif,kamareddy,2023,3681–4918 ₹/quintal,nearest mandi,telangana agri exports
cabbage,rabi,nizamabad,2023,2794–3596 ₹/quintal,local market,green harvest corp
grapes,rabi,rangareddy,2021,2037–2975 ₹/quintal,nearest mandi,agro industries ltd
millets,kharif,kumuram bheem asifabad,2023,2737–3494 ₹/quintal,nearest mandi,green harvest corp
tea,kharif,warangal rural,2021,4616–5809 ₹/quintal,industry buyer,rural farmers hub
arhar,kharif,nirmal,2022,3831–4104 ₹/quintal,local market,bharat agro mills
maize,rabi,warangal urban,2023,2025–3448 ₹/quintal,industry buyer,telangana agri exports
lemon,kharif,karimnagar,2023,3035–3542 ₹/quintal,local market,krishi produce ltd
potato,rabi,nizamabad,2023,942–1639 ₹/quintal,nearest mandi,green harvest corp
ginger,kharif,mahabubnagar,2022,3175–4122 ₹/quintal,nearest mandi,krishi produce ltd
banana,rabi,warangal urban,2024,2622–3758 ₹/quintal,local market,agro industries ltd
cardamom,kharif,wanaparthy,2023,3153–3832 ₹/quintal,nearest mandi,telangana agri exports
hemp,kharif,khammam,2022,3466–4502 ₹/quintal,nearest mandi,krishi produce ltd
barley,rabi,nalgonda,2020,3256–3550 ₹/quintal,industry buyer,mandi connect ltd
rubber,kharif,suryapet,2024,3264–3514 ₹/quintal,industry buyer,krishi produce ltd
rice,rabi,peddapalli,2022,2196–2829 ₹/quintal,nearest mandi,green harvest corp
orange,kharif,siddipet,2020,2847–3084 ₹/quintal,industry buyer,mandi connect ltd
papaya,rabi,nalgonda,2020,5072–5956 ₹/quintal,nearest mandi,green harvest corp
jowar,rabi,medchal–malkajgiri,2021,2191–3380 ₹/quintal,industry buyer,krishi produce ltd
moong,kharif,sangareddy,2023,1935–2919 ₹/quintal,local market,telangana agri exports
groundnut,kharif,peddapalli,2022,4290–5057 ₹/quintal,industry buyer,agro industries ltd
gram,rabi,medak,2022,4639–5884 ₹/quintal,local market,agro industries ltd
rice,kharif,siddipet,2021,1854–3302 ₹/quintal,industry buyer,mandi connect ltd
cucumber,zaid,hyderabad,2022,3588–4509 ₹/quintal,industry buyer,rural farmers hub
rice,kharif,jogulamba gadwal,2021,2178–3378 ₹/quintal,local market,mandi connect ltd
pulses,kharif,mancherial,2024,3159–3573 ₹/quintal,industry buyer,deccan agri trading
sesame,kharif,mahabubnagar,2020,3539–4061 ₹/quintal,industry buyer,telangana agri exports
apple,rabi,yadadri bhuvanagiri,2024,2545–3532 ₹/quintal,industry buyer,deccan agri trading
hemp,kharif,yadadri bhuvanagiri,2024,4167–4990 ₹/quintal,local market,telangana agri exports
jowar,kharif,mulugu,2023,4040–4556 ₹/quintal,local market,mandi connect ltd
mustard,rabi,mahabubnagar,2021,3121–3531 ₹/quintal,industry buyer,agro industries ltd
cardamom,kharif,mancherial,2022,2880–3179 ₹/quintal,nearest mandi,deccan agri trading
okra,kharif,rajanna sircilla,2024,3602–4790 ₹/quintal,local market,telangana agri exports
okra,kharif,siddipet,2022,2782–4245 ₹/quintal,nearest mandi,rural farmers hub
cotton,kharif,kamareddy,2023,5240–5559 ₹/quintal,industry buyer,mandi connect ltd
cinnamon,kharif,mancherial,2021,3599–4965 ₹/quintal,nearest mandi,deccan agri trading
ginger,kharif,suryapet,2024,3172–4091 ₹/quintal,local market,green harvest corp
papaya,rabi,nirmal,2022,3535–5022 ₹/quintal,nearest mandi,green harvest corp
mango,kharif,rajanna sircilla,2022,3811–4410 ₹/quintal,industry buyer,rural farmers hub
chilli,kharif,wanaparthy,2024,6786–8118 ₹/quintal,industry buyer,mandi connect ltd
urad,kharif,peddapalli,2021,3006–4450 ₹/quintal,local market,bharat agro mills
cucumber,zaid,mahabubabad,2020,3253–4600 ₹/quintal,industry buyer,agro industries ltd
onion,zaid,warangal rural,2024,2269–3060 ₹/quintal,industry buyer,green harvest corp
guava,rabi,warangal rural,2023,4873–5087 ₹/quintal,local market,rural farmers hub
jute,kharif,kumuram bheem asifabad,2020,2919–4156 ₹/quintal,nearest mandi,bharat agro mills
soybean,kharif,jogulamba gadwal,2021,3108–4192 ₹/quintal,local market,agro industries ltd
pumpkin,kharif,kamareddy,2024,3092–3462 ₹/quintal,industry buyer,green harvest corp
pomegranate,kharif,jogulamba gadwal,2021,4030–5155 ₹/quintal,industry buyer,telangana agri exports
tomato,rabi,khammam,2020,1392–2862 ₹/quintal,local market,deccan agri trading
cumin,rabi,jogulamba gadwal,2020,2660–3827 ₹/quintal,industry buyer,deccan agri trading
cotton,kharif,nalgonda,2020,5198–6492 ₹/quintal,industry buyer,telangana agri exports
onion,kharif,karimnagar,2022,1579–1940 ₹/quintal,nearest mandi,rural farmers hub
turmeric,kharif,peddapalli,2020,7160–7913 ₹/quintal,industry buyer,agro industries ltd
rice,kharif,kumuram bheem asifabad,2023,2406–2671 ₹/quintal,industry buyer,krishi produce ltd
brinjal,kharif,rangareddy,2020,3124–3740 ₹/quintal,local market,green harvest corp
pumpkin,kharif,medak,2023,2531–2826 ₹/quintal,industry buyer,agro industries ltd
tomato,rabi,mulugu,2020,1338–1601 ₹/quintal,industry buyer,krishi produce ltd
moong,kharif,khammam,2021,1946–2602 ₹/quintal,nearest mandi,mandi connect ltd
banana,rabi,siddipet,2020,2357–3808 ₹/quintal,nearest mandi,rural farmers hub
apple,rabi,vikarabad,2024,3109–3536 ₹/quintal,industry buyer,rural farmers hub
beetroot,rabi,rangareddy,2020,3818–5059 ₹/quintal,industry buyer,agro industries ltd
jute,kharif,karimnagar,2021,3582–4019 ₹/quintal,nearest mandi,mandi connect ltd
cabbage,rabi,yadadri bhuvanagiri,2023,3373–3611 ₹/quintal,nearest mandi,agro industries ltd
hemp,kharif,warangal rural,2024,3716–4514 ₹/quintal,local market,bharat agro mills
cucumber,zaid,mahabubnagar,2024,2848–3374 ₹/quintal,industry buyer,rural farmers hub
rubber,kharif,hyderabad,2024,3964–5111 ₹/quintal,local market,krishi produce ltd
plum,rabi,nizamabad,2021,2717–3233 ₹/quintal,nearest mandi,agro industries ltd
lychee,kharif,hyderabad,2023,3538–4056 ₹/quintal,local market,bharat agro mills
papaya,kharif,suryapet,2022,3591–4859 ₹/quintal,local market,mandi connect ltd
mustard,rabi,medchal–malkajgiri,2021,4417–5142 ₹/quintal,industry buyer,mandi connect ltd
pulses,rabi,medak,2022,3330–3875 ₹/quintal,industry buyer,mandi connect ltd
okra,kharif,nizamabad,2020,1884–2832 ₹/quintal,industry buyer,deccan agri trading
cabbage,rabi,wanaparthy,2023,2716–3948 ₹/quintal,local market,telangana agri exports
carrot,rabi,rajanna sircilla,2024,3208–4047 ₹/quintal,industry buyer,bharat agro mills
pumpkin,kharif,mancherial,2024,2196–2998 ₹/quintal,local market,bharat agro mills
lychee,kharif,siddipet,2021,4424–5285 ₹/quintal,local market,rural farmers hub
rubber,kharif,nirmal,2021,4075–4467 ₹/quintal,industry buyer,green harvest corp
plum,rabi,mulugu,2021,3543–5016 ₹/quintal,nearest mandi,rural farmers hub
cumin,rabi,nizamabad,2023,3432–3820 ₹/quintal,industry buyer,krishi produce ltd
pumpkin,zaid,nizamabad,2020,4626–5679 ₹/quintal,industry buyer,deccan agri trading
rubber,kharif,karimnagar,2024,3389–3880 ₹/quintal,nearest mandi,agro industries ltd
urad,kharif,jayashankar bhupalpally,2022,2936–4300 ₹/quintal,nearest mandi,mandi connect ltd
pumpkin,zaid,yadadri bhuvanagiri,2023,3817–4906 ₹/quintal,local market,krishi produce ltd
sugarcane,kharif,suryapet,2022,3349–3740 ₹/quintal,industry buyer,bharat agro mills
pulses,rabi,kumuram bheem asifabad,2020,2169–3029 ₹/quintal,industry buyer,agro industries ltd
soybean,kharif,jagtial,2024,3429–4859 ₹/quintal,industry buyer,telangana agri exports
jute,kharif,kamareddy,2021,3579–4442 ₹/quintal,local market,mandi connect ltd
bitter gourd,kharif,nagarkurnool,2024,3633–4275 ₹/quintal,local market,green harvest corp
banana,rabi,rangareddy,2022,4204–5533 ₹/quintal,nearest mandi,mandi connect ltd
pomegranate,kharif,hyderabad,2020,2011–3483 ₹/quintal,nearest mandi,telangana agri exports
garlic,rabi,nirmal,2022,3596–3970 ₹/quintal,industry buyer,bharat agro mills
saffron,rabi,kumuram bheem asifabad,2020,3040–3929 ₹/quintal,nearest mandi,krishi produce ltd
sunflower,zaid,mancherial,2020,2985–3579 ₹/quintal,nearest mandi,krishi produce ltd
sapota,kharif,hyderabad,2020,3259–3965 ₹/quintal,local market,telangana agri exports
garlic,rabi,kamareddy,2024,3762–4542 ₹/quintal,nearest mandi,bharat agro mills
brinjal,kharif,kumuram bheem asifabad,2020,4676–5016 ₹/quintal,nearest mandi,rural farmers hub
gram,rabi,khammam,2020,3811–4200 ₹/quintal,local market,deccan agri trading
ragi,kharif,rajanna sircilla,2021,2562–3438 ₹/quintal,industry buyer,telangana agri exports
bottle gourd,kharif,mulugu,2024,2714–3281 ₹/quintal,local market,green harvest corp
saffron,rabi,medchal–malkajgiri,2020,3094–4240 ₹/quintal,industry buyer,mandi connect ltd
plum,rabi,adilabad,2024,3048–4447 ₹/quintal,nearest mandi,rural farmers hub
sesame,kharif,mahabubnagar,2024,3726–4529 ₹/quintal,industry buyer,krishi produce ltd
hemp,kharif,khammam,2022,3079–3704 ₹/quintal,industry buyer,mandi connect ltd
lychee,kharif,jangaon,2022,3595–3939 ₹/quintal,nearest mandi,bharat agro mills
guava,kharif,mahabubnagar,2021,3536–4579 ₹/quintal,industry buyer,rural farmers hub
hemp,kharif,nagarkurnool,2024,4008–4429 ₹/quintal,nearest mandi,agro industries ltd
guava,rabi,jogulamba gadwal,2022,2763–3067 ₹/quintal,local market,telangana agri exports
saffron,rabi,wanaparthy,2021,2975–3735 ₹/quintal,nearest mandi,deccan agri trading
millets,kharif,wanaparthy,2022,2565–3902 ₹/quintal,local market,rural farmers hub
muskmelon,zaid,kamareddy,2022,2523–3138 ₹/quintal,industry buyer,rural farmers hub
millets,kharif,nagarkurnool,2022,3490–4007 ₹/quintal,industry buyer,telangana agri exports
cabbage,rabi,karimnagar,2023,3198–4169 ₹/quintal,industry buyer,agro industries ltd
pumpkin,kharif,suryapet,2021,2849–3060 ₹/quintal,nearest mandi,mandi connect ltd
maize,rabi,sangareddy,2024,1695–2772 ₹/quintal,nearest mandi,mandi connect ltd
pomegranate,kharif,suryapet,2024,4457–5931 ₹/quintal,local market,rural farmers hub
pumpkin,zaid,nirmal,2022,3337–4303 ₹/quintal,industry buyer,agro industries ltd
mango,kharif,kamareddy,2021,3056–4275 ₹/quintal,local market,bharat agro mills
plum,rabi,rangareddy,2020,3307–4557 ₹/quintal,industry buyer,agro industries ltd
turmeric,kharif,mancherial,2021,7554–8217 ₹/quintal,nearest mandi,agro industries ltd
ragi,kharif,hyderabad,2021,4580–4961 ₹/quintal,industry buyer,rural farmers hub
gram,rabi,karimnagar,2024,3430–4335 ₹/quintal,industry buyer,mandi connect ltd
clove,kharif,medak,2024,4256–4834 ₹/quintal,nearest mandi,deccan agri trading
okra,kharif,nirmal,2023,3006–4392 ₹/quintal,local market,deccan agri trading
sapota,kharif,hyderabad,2020,2687–3214 ₹/quintal,nearest mandi,green harvest corp
rice,rabi,rangareddy,2024,1868–2798 ₹/quintal,industry buyer,telangana agri exports
groundnut,kharif,nalgonda,2021,3938–5034 ₹/quintal,nearest mandi,mandi connect ltd
apple,rabi,kamareddy,2023,3723–4704 ₹/quintal,local market,telangana agri exports
lentil,rabi,nizamabad,2022,2698–3845 ₹/quintal,industry buyer,green harvest corp
